<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 09 19 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     48   31.5    5.1    5.0   161    4.7    0.6    6.2    0.00   974.07    69   31.7    4.1   28.6   34.5   28.9   26.8   25.5    3.75    3.80    3.70
 KIN2   133     5     48   31.4    4.8    4.8   159    9.0    0.6    6.2    0.00   974.08    38   31.6    3.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     49   31.2    4.8    4.8   163    8.3    0.9    7.0    0.00   974.07    23   31.5    3.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     49   31.2    4.2    4.2   172    7.5    0.7    5.8    0.00   974.10    16   31.5    3.4   28.6   34.4   28.9   26.9   25.5    -995    -995    -995
 KIN2   133    20     50   31.0    5.0    4.9   160    6.6    0.7    6.2    0.00   974.18    10   31.3    3.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     50   30.7    3.8    3.8   163    5.2    0.5    5.1    0.00   974.27     7   31.1    3.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     51   30.6    3.5    3.5   168    5.2    0.4    4.2    0.00   974.30     5   31.0    2.7   28.5   34.2   28.8   26.9   25.6    3.76    3.80    3.69
 KIN2   133    35     51   30.5    3.1    3.1   171    6.8    0.6    4.4    0.00   974.33     3   30.9    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     52   30.2    3.1    3.1   171    6.9    0.4    4.0    0.00   974.41     2   30.8    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     52   30.0    2.6    2.6   169    5.6    0.4    3.4    0.00   974.47     1   30.6    1.8   28.5   34.0   28.7   26.9   25.5    -995    -995    -995
 KIN2   133    50     53   29.6    2.5    2.5   167    4.7    0.2    3.1    0.00   974.51     0   30.4    1.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     53   29.5    2.4    2.4   172    4.3    0.2    2.9    0.00   974.57     0   30.3    1.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     53   29.3    2.3    2.3   175    4.1    0.3    3.3    0.00   974.66     0   30.2    1.3   28.5   33.7   28.6   27.0   25.5    3.75    3.79    3.70
 KIN2   133    65     54   29.1    2.3    2.3   174    4.6    0.2    3.2    0.00   974.72     0   30.0    1.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     54   28.9    2.5    2.5   174    3.3    0.1    2.7    0.00   974.83     0   29.9    1.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     54   28.8    2.5    2.5   168    4.2    0.2    2.9    0.00   974.85     0   29.7    1.0   28.4   33.5   28.5   27.0   25.5    -995    -995    -995
 KIN2   133    80     55   28.6    2.6    2.6   165    2.5    0.1    3.0    0.00   974.87     0   29.6    1.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     56   28.4    2.5    2.5   161    4.7    0.2    2.9    0.00   974.88     0   29.5    1.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    90     57   28.2    2.3    2.3   149    5.2    0.2    2.7    0.00   974.92     0   29.3    1.1   28.4   33.3   28.3   27.0   25.5    3.76    3.79    3.69
 KIN2   133    95     58   28.1    2.2    2.2   143    4.6    0.2    2.6    0.00   975.00     0   29.1    1.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   100     58   28.1    1.8    1.8   135    7.3    0.1    2.3    0.00   975.11     0   29.0    0.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   105     58   28.2    1.7    1.7   128    7.2    0.2    2.3    0.00   975.17     0   28.9    0.6   28.3   33.0   28.2   27.0   25.5    -995    -995    -995
 KIN2   133   110     59   28.0    1.9    1.8   146    5.1    0.2    2.3    0.00   975.22     0   28.8    0.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   115     59   27.8    1.7    1.7   142    5.8    0.1    2.0    0.00   975.24     0   28.7    0.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   120     60   27.5    1.6    1.6   140    5.6    0.1    2.0    0.00   975.33     0   28.5    0.2   28.2   32.8   28.1   27.0   25.5    3.76    3.79    3.69
 KIN2   133   125     61   27.4    1.7    1.7   147    3.1    0.1    2.1    0.00   975.45     0   28.4    0.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   130     61   27.4    1.6    1.6   148    2.8    0.1    1.9    0.00   975.51     0   28.2    0.4   -995   -995   -995   -995   -995    -995    -995    -995
