<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 01 09 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     53    7.3    1.9    1.8     7    8.8    0.2    2.5    0.00   992.37     0    8.1    1.1    8.4    8.6    8.4    8.3    9.0    1.44    1.54    1.42
 KIN2   133     5     53    7.2    1.9    1.9     9    7.2    0.2    2.5    0.00   992.36     0    8.1    1.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     53    7.1    1.6    1.5    15    9.0    0.2    2.2    0.00   992.42     0    7.9    0.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     53    7.0    1.6    1.5    12    8.0    0.3    2.3    0.00   992.47     0    7.8    0.6    8.3    8.4    8.2    8.2    8.9    -995    -995    -995
 KIN2   133    20     53    6.9    1.5    1.5     5    9.8    0.3    2.2    0.00   992.46     0    7.6    0.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     54    6.5    1.7    1.7    21    8.7    0.2    2.4    0.00   992.47     0    7.4    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     56    6.4    1.5    1.5    32    6.8    0.2    2.0    0.00   992.49     0    7.2    0.2    8.3    8.2    8.1    8.2    8.9    1.44    1.54    1.43
 KIN2   133    35     55    6.3    1.5    1.5    27    7.2    0.2    1.9    0.00   992.55     0    7.2    0.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     56    6.2    1.7    1.7    24    5.9    0.2    2.4    0.00   992.61     0    7.1    0.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     57    6.0    1.8    1.8    22    5.0    0.2    2.3    0.00   992.65     0    7.2    0.5    8.2    8.0    8.0    8.2    8.9    -995    -995    -995
 KIN2   133    50     57    6.0    1.5    1.5    23    4.9    0.1    1.9    0.00   992.75     0    7.0    0.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     57    5.9    1.4    1.4    30    4.9    0.2    1.8    0.00   992.76     0    7.0    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     58    5.8    0.9    0.9    29    5.6    0.2    1.3    0.00   992.84     0    6.9    0.0    8.1    7.8    7.8    8.2    8.8    1.44    1.55    1.42
 KIN2   133    65     58    5.7    0.6    0.6    24    6.3    0.1    1.0    0.00   992.95     0    6.7    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     58    5.8    0.9    0.9     9    2.7    0.2    1.2    0.00   993.03     0    6.7    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     58    5.7    1.1    1.1     7    4.8    0.2    1.6    0.00   993.02     0    6.7    0.0    8.1    7.7    7.7    8.2    8.8    -995    -995    -995
 KIN2   133    80     58    5.3    1.5    1.5     6    4.7    0.2    1.9    0.00   993.04     0    6.4    0.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     58    5.3    1.3    1.3   356    7.5    0.2    1.8    0.00   993.11     0    6.3    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    90     60    4.9    1.2    1.2   353    8.1    0.2    1.8    0.00   993.21     0    6.2    0.0    8.0    7.5    7.6    8.1    8.8    1.44    1.55    1.43
 KIN2   133    95     61    4.8    1.1    1.1   346   10.2    0.2    1.7    0.00   993.27     0    6.0    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   100     63    4.4    1.1    1.1   338    7.9    0.2    1.6    0.00   993.31     0    6.0    0.4   -995   -995   -995   -995   -995    -995    -995    -995
